Model,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC
XGBoost-style GB,0.6521739130434783,0.5,0.625,0.5555555555555556,0.725
Extra Trees,0.6956521739130435,0.6,0.375,0.46153846153846156,0.7416666666666667
AdaBoost,0.6956521739130435,0.5714285714285714,0.5,0.5333333333333333,0.7
Neural Network (MLP),0.6521739130434783,0.0,0.0,0.0,0.20833333333333331
SVM (RBF Kernel),0.7391304347826086,0.75,0.375,0.5,0.6916666666666667
KNN (Optimized),0.6086956521739131,0.3333333333333333,0.125,0.18181818181818182,0.7666666666666666
Random Forest (Tuned),0.7391304347826086,0.6666666666666666,0.5,0.5714285714285714,0.7333333333333334
Voting Ensemble (Hard),0.6956521739130435,0.5714285714285714,0.5,0.5333333333333333,0.0
Voting Ensemble (Soft),0.5652173913043478,0.4,0.5,0.4444444444444444,0.725
Stacking Ensemble,0.6956521739130435,0.6,0.375,0.46153846153846156,0.7083333333333334
